Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	Cpg_ts_rate_in_CpgIsland	Cpg_tv_rate_in_CpgIsland	NoncpgGC_ts_rate	NoncpgGC_tv_rate	NoncpgGC_ts_rate_in_CpgIsland	NoncpgGC_tv_rate_in_CpgIsland
hg19	0.003227548	0.001423831	0.004900058	0.002357339	0.047311766	0.005406841	0.005433263	0.004760987	0.003309423	0.00223993	0.00321889	0.002147843
panTro4	0.003322482	0.001628522	0.005192139	0.00250233	0.049443675	0.005179487	0.005239076	0.004105787	0.003530825	0.002397311	0.003584689	0.002225086
hg19-panTro4	0.005029566	0.002251554	0.008247904	0.003656192	0.075667043	0.008347864	0.008943347	0.007983064	0.005675461	0.00346995	0.005948752	0.003392396
ponAbe2	0.008329072	0.00379977	0.014950743	0.006501961	0.123071938	0.013082437	0.016854036	0.013908971	0.010790769	0.006228418	0.011274943	0.006243702
hg19-ponAbe2	0.005458772	0.002876388	0.010477775	0.004312723	0.085831326	0.010232872	0.011484727	0.010174217	0.007477034	0.004066866	0.007207709	0.003790446
rheMac3	0.001050142	0.000618057	0.002092603	0.000912241	0.017620156	0.001908688	0.002244188	0.002658205	0.001463548	0.000869806	0.001565185	0.001157535
macFas5	0.000724277	0.000387819	0.001417353	0.000546143	0.012630188	0.001293069	0.002065635	0.00168872	0.000964083	0.000515393	0.001071458	0.000657143
rheMac3-macFas5	0.002345921	0.00118347	0.00436512	0.001644908	0.035932446	0.004018714	0.00427093	0.003542138	0.003074221	0.00154492	0.002496004	0.001488231
papHam1	0.003387315	0.001755363	0.00685916	0.002468161	0.053295294	0.005641816	0.00729954	0.005713604	0.004955536	0.002333058	0.003995126	0.002310174
rheMac3-papHam1	0.002261972	0.001008567	0.003440581	0.001254339	0.027465798	0.003039453	0.003578712	0.00291511	0.002466526	0.001180533	0.001993229	0.001086841
chlSab1	0.005543438	0.003026949	0.010573885	0.003998735	0.080242701	0.009575784	0.011981406	0.008273041	0.007727253	0.00376226	0.00595227	0.003515026
rheMac3-chlSab1	0.012566956	0.006915136	0.021468481	0.008881747	0.144394161	0.018472762	0.02334501	0.021150413	0.016500705	0.008461442	0.015743124	0.008253664
hg19-rheMac3	0.007645332	0.0043886	0.013468441	0.005706134	0.101741842	0.015025948	0.014754669	0.013621702	0.009816142	0.005304953	0.009686955	0.004872409
calJac3	0.015740433	0.009102605	0.02602811	0.011208293	0.186358465	0.026464842	0.029291142	0.027110615	0.019340006	0.010516671	0.019673109	0.010114326
saiBol1	0.016083037	0.008821823	0.025287624	0.010832587	0.167920881	0.024418822	0.021184738	0.021192833	0.01933799	0.01021587	0.014133072	0.009196044
calJac3-saiBol1	0.017437031	0.011563006	0.033384011	0.013881631	0.192055184	0.031660167	0.027933069	0.028639487	0.026637653	0.013054001	0.019974423	0.011079522
hg19-calJac3	0.032155931	0.021451878	0.059545623	0.024919365	0.282128102	0.05039816	0.034870821	0.038570972	0.049405242	0.023548278	0.027773646	0.017809097
otoGar3	0.08114261	0.057130683	0.123865313	0.058457475	0.323445354	0.083011476	0.087774597	0.089985653	0.112668295	0.056243051	0.075895964	0.049346144
hg19-otoGar3	0.06876259	0.048039641	0.114442353	0.054006332	0.32652864	0.075033915	0.003502724	0.00413574	0.103565226	0.052205231	0.002653335	0.001682822
mm10	0.105144484	0.079891158	0.164039194	0.080920704	0.319733217	0.08316447	0.116803221	0.138852348	0.15373991	0.079045722	0.130491722	0.104638815
