Species	ww	ss	cpg_ss	noncpg_ss	ws	sw	cpg_sw	noncpg_sw
hg19	0.000604883	0.001204093	0.002471861	0.001155416	0.004046496	0.006053304	0.050246746	0.001085096
panTro4	0.000693318	0.001325976	0.002552748	0.001278234	0.004257686	0.006368492	0.052070414	0.001119932
hg19-panTro4	0.00096349	0.001908452	0.004013229	0.001825391	0.00631763	0.009995644	0.080001678	0.00164581
ponAbe2	0.001679414	0.003298325	0.005964963	0.003187966	0.010449428	0.018154379	0.130189412	0.003043675
hg19-ponAbe2	0.001319988	0.002052852	0.004821727	0.001938891	0.007015172	0.012737646	0.091242471	0.002129755
rheMac3	0.000274503	0.000436311	0.000915963	0.000416557	0.001393697	0.002568533	0.018612881	0.000453551
macFas5	0.000159158	0.000284334	0.000645842	0.000269566	0.000952938	0.001679162	0.013277414	0.00024596
rheMac3-macFas5	0.000456181	0.00088806	0.002070775	0.000838571	0.00307321	0.005121968	0.037880385	0.000706912
papHam1	0.000682729	0.001370852	0.002889445	0.001306616	0.004459949	0.007956469	0.056047665	0.001027316
rheMac3-papHam1	0.000366622	0.000721231	0.001724119	0.000680039	0.002903917	0.003973689	0.028781132	0.000500724
chlSab1	0.001176239	0.002269524	0.005593132	0.002130632	0.007394147	0.012303096	0.084225352	0.001633217
rheMac3-chlSab1	0.002820867	0.00445504	0.009316947	0.004245744	0.016661225	0.025895189	0.153549976	0.004221266
hg19-rheMac3	0.001936458	0.002728641	0.00732742	0.002532791	0.010097475	0.016445935	0.10944037	0.002774912
calJac3	0.003831409	0.005442303	0.013267631	0.00509628	0.021011628	0.0317941	0.199555675	0.005430256
saiBol1	0.003522604	0.005453143	0.012916565	0.005122305	0.021382256	0.030667068	0.179423137	0.005102377
calJac3-saiBol1	0.00507259	0.006661184	0.016218117	0.006229384	0.023927446	0.040604459	0.207497233	0.006838931
hg19-calJac3	0.009898768	0.01118054	0.023885418	0.010532651	0.043709041	0.073284447	0.308640843	0.013051898
otoGar3	0.025357874	0.028061737	0.041659766	0.027019607	0.112915419	0.154261051	0.364797064	0.029396139
hg19-otoGar3	0.023047285	0.024506257	0.035879346	0.023688054	0.093754947	0.143942428	0.365683209	0.028638666
mm10	0.036922102	0.03887855	0.040811346	0.038081701	0.148113541	0.206081348	0.362086341	0.041222784
