Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	NoncpgGC_ts_rate	NoncpgGC_tv_rate
hg19	0.00403282662623826	0.00179463428404621	0.00608449989748864	0.00294340129838444	0.058023566755611	0.00668213173215243	0.00412495334932295	0.00279796167310327
gorGor3	0.00455533080942582	0.00185607555120489	0.00670296224401295	0.00325041780909525	0.0637499686588828	0.00666795788690968	0.00454906825592652	0.00311603560035734
hg19-gorGor3	0.00426734590432844	0.00188200027179323	0.0071332999858152	0.0030698759062484	0.0659944632834027	0.0071391792047406	0.00487639093411234	0.00290838900707132
ponAbe2	0.00832913429254548	0.0037968970392744	0.0149670867076486	0.00649946553409211	0.122974833354449	0.0130258353835248	0.010784937231874	0.00622630354629074
hg19-ponAbe2	0.00547806952428528	0.00287681935779303	0.0104586308726685	0.00430486493958597	0.0855063029974214	0.0102173337465366	0.00745091217673519	0.00405777765405131
rheMac3	0.00104750326163686	0.000615485571048373	0.00208880028575838	0.00090672436992966	0.0176157978851403	0.00189911185333958	0.0014564852987882	0.00086431213696937
macFas5	0.000726272066552667	0.000388020303177557	0.00142061196515744	0.000545408369506992	0.0127451354494346	0.00129505641451883	0.000960435555081155	0.000514389563914204
rheMac3-macFas5	0.0023494099472114	0.0011837294961009	0.00436254137302736	0.00164242481047691	0.0358022363629035	0.00400865898457101	0.00306988200309139	0.00154222743581279
papHam1	0.00338635134505863	0.00175291536823724	0.00685278015628969	0.00246295861456418	0.0532081264826126	0.00563681207812563	0.00494242088706985	0.00232708386577667
rheMac3-papHam1	0.00227251771025727	0.00100995343247557	0.00344470116114248	0.00125380727543889	0.0274756058319003	0.00304100272583342	0.00246515487667277	0.00117951874039426
chlSab1	0.00554652877088216	0.00302572467795835	0.010567159784674	0.00399306713776796	0.0800848978857297	0.00957239882870445	0.00771129560806833	0.00375528750481074
rheMac3-chlSab1	0.0125883179114524	0.00691573013334577	0.0214632124314739	0.00887291792160469	0.144074538976407	0.0184546667480726	0.0164763661347908	0.00845046875040223
hg19-rheMac3	0.00767319523583042	0.00439109595761791	0.0134282165142104	0.00569546619284556	0.10136761635664	0.0150026385245599	0.00976776079380431	0.00529243539721525
calJac3	0.0157661642592884	0.00910406972384941	0.0260216171779814	0.0112012388081903	0.186170439032028	0.026474076779172	0.0193027079108727	0.0105050678064735
saiBol1	0.0161247977965959	0.00883152809773842	0.0252547633957932	0.0108199549357274	0.167465487352967	0.0244225528404324	0.0192891087616351	0.0101991753992075
calJac3-saiBol1	0.0174905526965475	0.0115758697942679	0.0333253585186051	0.0138652952999928	0.191617084966409	0.0316973771579702	0.0265550598887569	0.0130307079235881
hg19-calJac3	0.0324109270706177	0.0215475195158572	0.0595315501830871	0.0249530065454188	0.282157147728699	0.0504567348083729	0.049352614279011	0.0235753471097278
otoGar3	0.0812873871288593	0.0571294051805252	0.123585269987161	0.0583860259065739	0.323543550665404	0.0830469699666138	0.112343028651233	0.0561622510726342
hg19-otoGar3	0.065022787288796	0.0450798665152249	0.107585005388269	0.0504346097199337	0.325347442300656	0.0730373315705807	0.0966667824917513	0.0486603162341259
mm10	0.108861636821311	0.0827856767254483	0.168801289355217	0.083952004284261	0.31705492560159	0.0842769534077701	0.158597084016682	0.0820544760483165
