Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	NoncpgGC_ts_rate	NoncpgGC_tv_rate
hg19	0.00322519760114551	0.00141944664647786	0.00487206680559146	0.00235227820734259	0.0477174406190563	0.00542189528758629	0.00328996010119182	0.00223588126131729
panTro4	0.00331534678872996	0.00161732549872249	0.00515442977606301	0.00248955575278994	0.0497295519384442	0.00518594479320848	0.00350707424225029	0.00238562158736331
hg19-panTro4	0.00598093307695543	0.00272109085941676	0.010024835771118	0.00443081321424483	0.0911428248165334	0.0100486827746706	0.00694542305294698	0.00420747362891715
nomLeu3	0.0105456051436128	0.00478821601955221	0.0166254385749105	0.00752001943201847	0.135546296458546	0.0157045604360806	0.012073034269339	0.00718187528728616
hg19-nomLeu3	0.004470949750187	0.00237886816002445	0.00873118729489233	0.00352881516612282	0.0723803296904213	0.00852262110228653	0.0062413523488463	0.00332609280196646
rheMac3	0.00104761626344095	0.000616147017704397	0.0020867679905598	0.000910146385680634	0.0177228444477263	0.00189884916986878	0.00146138036874141	0.00086855090201085
macFas5	0.000718694351582869	0.00038585528503241	0.00140656549190328	0.000543489317997776	0.0125773872987035	0.001282943701817	0.000960716317368764	0.00051345103822351
rheMac3-macFas5	0.00233759815263052	0.00117951952067352	0.00435397129709685	0.00164130288477441	0.0361380828920432	0.00401375625062878	0.00307128017536952	0.00154269355014194
papHam1	0.00336835564680856	0.00174805789028821	0.00682179771261109	0.00245752174493297	0.053369441063818	0.00561296930292438	0.00493883877519265	0.00232498440156971
rheMac3-papHam1	0.00227830772274917	0.00100974407306182	0.003468462737587	0.00125720663199729	0.0283845082809397	0.00305539494301672	0.00247216096141969	0.00118383775538276
chlSab1	0.00550637400159658	0.00301498556257596	0.0105060227285916	0.0039825927052785	0.0800285768242047	0.0095375204619275	0.00770481140128262	0.00375045731443246
rheMac3-chlSab1	0.012497485773944	0.00689311650757806	0.0214279936513193	0.00886871238183942	0.145328854568307	0.0183434323601079	0.0164985790448796	0.00845927061030526
hg19-rheMac3	0.00764068823542707	0.00437824174782638	0.0134090743063807	0.00568742043488921	0.102508857197119	0.0150754532157616	0.0097798057719502	0.00528961194346999
calJac3	0.0157235971470937	0.00909413788698366	0.0259633313384591	0.0111917568014115	0.187003619584787	0.0264146914917144	0.0193349581560754	0.0105105082928354
saiBol1	0.0160267323866954	0.0087958261210004	0.0252675615521968	0.0108164718625501	0.168948912664371	0.0243854319698317	0.0193537853538594	0.0102081813524732
calJac3-saiBol1	0.0173798750008938	0.0115213826374323	0.0333628197711544	0.0138497850587042	0.193228602180778	0.0315635346755046	0.0266698638767338	0.0130373706436288
hg19-calJac3	0.0320433524855501	0.0213575820166298	0.0593042537446481	0.0247708067696105	0.283532589727617	0.0502835285555788	0.0491979238335468	0.0234131479131194
otoGar3	0.081107147176402	0.0570448692241682	0.123664614585278	0.058235739678365	0.32388735699939	0.0827746991424825	0.112543541628019	0.0560451062951058
hg19-otoGar3	0.0630538060940764	0.0437127548232942	0.105379978895332	0.0492241744258634	0.324287835299922	0.0720846558317528	0.0946004170286185	0.0474836175305945
mm10	0.109909714126572	0.0839842259516986	0.16989372945593	0.0847386982348451	0.316144794774215	0.0841323713047274	0.159840725727236	0.0828728671320676
