Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	Cpg_ts_rate_in_CpgIsland	Cpg_tv_rate_in_CpgIsland	NoncpgGC_ts_rate	NoncpgGC_tv_rate	NoncpgGC_ts_rate_in_CpgIsland	NoncpgGC_tv_rate_in_CpgIsland
hg19	0.00326917	0.001457529	0.00504286	0.002424607	0.04799636	0.005412214	0.005441162	0.004839247	0.003353877	0.002303811	0.003294208	0.002220598
panTro4	0.003366469	0.001669405	0.005341831	0.002569476	0.050142207	0.005194117	0.005664588	0.004363468	0.003578526	0.002461324	0.003647272	0.002443852
hg19-panTro4	0.005140441	0.002328697	0.008551812	0.003797233	0.076752004	0.008291279	0.009828733	0.008389669	0.005806718	0.003608498	0.006111788	0.003639219
ponAbe2	0.008444857	0.003892585	0.01538192	0.006668874	0.124517813	0.012936978	0.018402875	0.014814988	0.010952065	0.006392108	0.011569509	0.006652667
hg19-ponAbe2	0.005806769	0.003012926	0.010870918	0.004564566	0.086252529	0.010092523	0.012976102	0.011270969	0.007714799	0.004322507	0.007906207	0.004361531
papHam1	0.003645822	0.001842874	0.006817118	0.002523919	0.053039427	0.005374174	0.007989746	0.006108475	0.00486113	0.002398753	0.004360577	0.002547997
rheMac3	0.003654185	0.00189608	0.006415903	0.002630921	0.051346348	0.005528793	0.007542775	0.006708664	0.004514266	0.002502696	0.004366492	0.002855409
papHam1-rheMac3	0.014329227	0.007955922	0.024623693	0.01027805	0.160024491	0.019807428	0.027596026	0.024095376	0.018849696	0.009829345	0.018262245	0.010361111
hg19-papHam1	0.012180321	0.006977354	0.02049683	0.009430763	0.14429864	0.019676113	0.018047574	0.016996686	0.015168136	0.008954822	0.012034685	0.007040657
calJac3	0.028685933	0.018662821	0.052179757	0.022439524	0.269307047	0.035288385	0.053950387	0.051307158	0.042375213	0.021676897	0.039539847	0.022667769
