Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	Cpg_ts_rate_in_CpgIsland	Cpg_tv_rate_in_CpgIsland	NoncpgGC_ts_rate	NoncpgGC_tv_rate	NoncpgGC_ts_rate_in_CpgIsland	NoncpgGC_tv_rate_in_CpgIsland
homo_sapiens	0.003320415	0.001522284	0.005069442	0.00248361	0.04858199	0.005453146	0.005374029	0.004799188	0.003404716	0.002366342	0.003309149	0.002247153
pan_troglodytes	0.003414647	0.00177276	0.005377704	0.00265495	0.050495337	0.005221764	0.005507382	0.004787989	0.003648981	0.002550087	0.0037786	0.002655223
homo_sapiens-pan_troglodytes	0.005164961	0.002395795	0.008545186	0.003867708	0.077116324	0.008328796	0.009412218	0.008146242	0.00586213	0.003685098	0.005940931	0.003554377
pongo_abelii	0.008517225	0.004134681	0.015402684	0.006885124	0.124923371	0.013010677	0.018284367	0.015151451	0.011079221	0.00661807	0.012016465	0.007281903
homo_sapiens-pongo_abelii	0.005870879	0.003122108	0.010923951	0.004675864	0.087172471	0.010218512	0.012736851	0.011037398	0.007820149	0.004439001	0.007894634	0.00428917
papio_anubis	0.003641564	0.00190463	0.006723623	0.00255024	0.0526851	0.005312888	0.007740163	0.005628155	0.004832087	0.002431657	0.004146172	0.002374281
macaca_mulatta	0.003639774	0.001940245	0.006392008	0.002643911	0.05118845	0.005494661	0.007148072	0.006172916	0.004549247	0.002521497	0.004238363	0.002518858
papio_anubis-macaca_mulatta	0.014378084	0.008160599	0.024629123	0.010486246	0.160839914	0.019922271	0.026438886	0.023589963	0.018980387	0.01005053	0.017458381	0.009876427
homo_sapiens-papio_anubis	0.012426671	0.00740461	0.02072646	0.009836522	0.143216321	0.019869024	0.016635442	0.016143669	0.015604245	0.009381129	0.01135275	0.006685189
callithrix_jacchus	0.028664645	0.019353274	0.052249833	0.023160329	0.271083124	0.0363661	0.053056284	0.051791924	0.042628211	0.022386451	0.039189994	0.022871436
