Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	NoncpgGC_ts_rate	NoncpgGC_tv_rate
hg19	0.00326916989829529	0.00145752879366913	0.00504286000636987	0.00242460725401903	0.0479963601561752	0.00541221425591521	0.00335387683527472	0.00230381061377977
panTro4	0.00336646865785123	0.00166940476030587	0.00534183106988262	0.002569475808482	0.0501422065382987	0.00519411669137837	0.00357852603522043	0.00246132443071562
hg19-panTro4	0.00514044092946504	0.00232869733758665	0.00855181183166051	0.00379723329396159	0.0767520041465691	0.00829127928444448	0.0058067176085136	0.00360849819695579
ponAbe2	0.00844485749124116	0.00389258520287679	0.0153819196634806	0.00666887385431156	0.124517812875352	0.0129369781402039	0.0109520651898614	0.00639210776992136
hg19-ponAbe2	0.00580676940599228	0.00301292630491102	0.0108709183711418	0.00456456619025839	0.0862525294502549	0.010092522953328	0.00771479850222351	0.00432250732352601
papHam1	0.00364582162922183	0.00184287405557281	0.00681711758577581	0.00252391858115043	0.0530394269954653	0.00537417407407231	0.00486112951328035	0.00239875280945927
rheMac3	0.00365418494279265	0.0018960796159966	0.0064159031684086	0.00263092076108728	0.0513463483704369	0.00552879284312178	0.00451426607420062	0.00250269553468788
papHam1-rheMac3	0.0143292271131338	0.00795592174297115	0.0246236931428083	0.0102780500107967	0.160024490604733	0.0198074283443282	0.018849695759237	0.00982934454577196
hg19-papHam1	0.012180321438114	0.00697735417935692	0.0204968296456308	0.00943076255930517	0.144298639781322	0.0196761126846761	0.0151681356289558	0.00895482234917075
calJac3	0.0286859329424719	0.0186628213099301	0.0521797573278034	0.0224395238985876	0.269307047409664	0.0352883845465295	0.0423752126619532	0.0216768969583554
