Species	AT_ts_rate	AT_tv_rate	GC_ts_rate	GC_tv_rate	Cpg_ts_rate	Cpg_tv_rate	NoncpgGC_ts_rate	NoncpgGC_tv_rate
homo_sapiens	0.00332041532158329	0.00152228424946035	0.00506944233075454	0.0024836103892095	0.0485819896523909	0.0054531461241681	0.00340471563465443	0.00236634214252106
pan_troglodytes	0.00341464735042965	0.00177276019991756	0.00537770424943078	0.00265494981291496	0.0504953371182163	0.00522176426527841	0.00364898100007932	0.00255008721171346
homo_sapiens-pan_troglodytes	0.00516496123021689	0.00239579532132827	0.00854518627298089	0.0038677083551166	0.07711632430916	0.00832879624460369	0.00586212951389205	0.0036850976330609
pongo_abelii	0.00851722472865025	0.00413468068716734	0.015402683636584	0.00688512432319796	0.124923370500524	0.0130106774041319	0.0110792205860689	0.00661806978030754
homo_sapiens-pongo_abelii	0.00587087853196778	0.00312210760396544	0.0109239512601794	0.00467586448633446	0.0871724710932965	0.0102185115872542	0.00782014947859864	0.00443900120036154
papio_anubis	0.00364156406473193	0.00190462983251198	0.00672362293627653	0.00255023975144877	0.0526850996124978	0.00531288840615515	0.00483208713113747	0.0024316566099968
macaca_mulatta	0.00363977352198542	0.00194024475345116	0.00639200798269941	0.0026439114143289	0.0511884500098873	0.00549466132678164	0.0045492473530383	0.00252149677278885
papio_anubis-macaca_mulatta	0.0143780841984181	0.00816059866913843	0.0246291232763918	0.0104862455368479	0.160839913824847	0.0199222711227991	0.0189803872757997	0.0100505304773594
homo_sapiens-papio_anubis	0.0124266710536413	0.00740460985101881	0.0207264602308448	0.00983652150470711	0.143216320958577	0.0198690241209417	0.0156042447154399	0.0093811292155074
callithrix_jacchus	0.0286646452461724	0.0193532741468065	0.052249832743183	0.023160328503	0.271083123818083	0.0363661004751932	0.0426282112065634	0.0223864505852152
