Species	ww	ss	cpg_ss	noncpg_ss	ws	sw	cpg_sw	noncpg_sw
hg19	0.000624778	0.001236775	0.002461516	0.001187401	0.004101921	0.006230693	0.050947058	0.001117038
panTro4	0.00071916	0.001360603	0.002566896	0.001311354	0.004316714	0.006550704	0.052769427	0.001150867
hg19-panTro4	0.001003635	0.001983915	0.00395362	0.001901671	0.006465503	0.01036513	0.081089663	0.001708204
ponAbe2	0.001732227	0.003377917	0.005862064	0.003268509	0.010605215	0.018672877	0.131592727	0.003127157
hg19-ponAbe2	0.001394283	0.002159048	0.004605721	0.002052832	0.007425413	0.013276436	0.091739332	0.002271463
papHam1	0.000721219	0.001415313	0.002815896	0.001354222	0.004767477	0.007925723	0.055597705	0.001045282
rheMac3	0.000772087	0.001375971	0.002847761	0.001311912	0.004778178	0.007670853	0.05402738	0.001191676
papHam1-rheMac3	0.003258656	0.005210914	0.009957052	0.00499158	0.019026493	0.029690829	0.169874867	0.004844682
hg19-papHam1	0.003180587	0.004386106	0.008649871	0.004189841	0.015977089	0.025541486	0.155324882	0.004770191
calJac3	0.008158335	0.010927025	0.017095128	0.010577306	0.039190419	0.063692257	0.287500304	0.011125012
