Species	ww	ss	cpg_ss	noncpg_ss	ws	sw	cpg_sw	noncpg_sw
homo_sapiens	0.000667045	0.001261555	0.002461637	0.001214312	0.004175655	0.006291497	0.051573499	0.00115273
pan_troglodytes	0.000786792	0.001390033	0.002557773	0.001343046	0.004400616	0.006642621	0.053159328	0.001208393
homo_sapiens-pan_troglodytes	0.001053186	0.002011604	0.003951003	0.001932725	0.00650757	0.010401291	0.081494117	0.001753825
pongo_abelii	0.001895323	0.003465516	0.005879375	0.003360635	0.010756583	0.018822292	0.132054673	0.003261741
homo_sapiens-pongo_abelii	0.001475134	0.002207149	0.004642048	0.00210418	0.007517852	0.013392667	0.092748935	0.002336845
papio_anubis	0.000775177	0.001420791	0.002778967	0.001363032	0.004771017	0.007853072	0.055219021	0.001069446
macaca_mulatta	0.000810478	0.001395218	0.002856147	0.00133336	0.004769541	0.007640701	0.053826965	0.001188993
papio_anubis-macaca_mulatta	0.003429819	0.005290813	0.009949305	0.005080242	0.019108864	0.029824555	0.17081288	0.004977761
homo_sapiens-papio_anubis	0.003460177	0.004567956	0.008738306	0.004380753	0.016371104	0.025995026	0.154347039	0.005005969
callithrix_jacchus	0.008712428	0.011212634	0.017583227	0.010859123	0.039305491	0.064197528	0.289865998	0.011555452
