Species	average_rate
hg19	0.00577676246248343
panTro4	0.00612226407385174
hg19-panTro4	0.00928793113723326
ponAbe2	0.0162551430672998
hg19-ponAbe2	0.0111854267754341
rheMac3	0.00260875810745442
macFas5	0.0022282726931979
rheMac3-macFas5	0.00464525362885664
papHam1	0.00686281100087727
rheMac3-papHam1	0.00399650084545229
chlSab1	0.0111626595169656
rheMac3-chlSab1	0.0246717581129659
hg19-rheMac3	0.0154321158925263
calJac3	0.0310217645105397
saiBol1	0.0304717642987418
calJac3-saiBol1	0.0384112268406177
hg19-calJac3	0.0719682897921776
otoGar3	0.183613423440874
hg19-otoGar3	0.157548383543282
mm10	0.257621812267737
